Energy,Magnetization
-644.0,-24
-848.0,-42
-940.0,-38
-1060.0,-50
-1144.0,-54
-1288.0,-12
-1376.0,-22
-1368.0,-44
-1408.0,-40
-1456.0,-58
-1392.0,-68
-1364.0,-58
-1376.0,-46
-1404.0,-72
-1388.0,-110
-1460.0,-70
-1428.0,-30
-1372.0,-48
-1404.0,-54
-1420.0,-62
-1432.0,-68
-1436.0,-106
-1408.0,-114
-1384.0,-108
-1424.0,-82
-1460.0,-82
-1504.0,-78
-1480.0,-96
-1408.0,-80
-1452.0,-132
-1528.0,-154
-1524.0,-160
-1488.0,-148
-1484.0,-120
-1524.0,-180
-1576.0,-174
-1528.0,-204
-1456.0,-246
-1412.0,-252
-1416.0,-300
-1476.0,-278
-1504.0,-322
-1508.0,-364
-1508.0,-362
-1552.0,-384
-1560.0,-378
-1576.0,-354
-1512.0,-360
-1528.0,-350
-1572.0,-352
-1500.0,-296
-1504.0,-308
-1528.0,-314
-1540.0,-358
-1560.0,-386
-1616.0,-412
-1584.0,-398
-1552.0,-382
-1536.0,-406
-1480.0,-398
-1476.0,-358
-1544.0,-414
-1504.0,-426
-1508.0,-432
-1504.0,-434
-1504.0,-408
-1584.0,-474
-1632.0,-498
-1616.0,-494
-1604.0,-494
-1676.0,-520
-1672.0,-522
-1644.0,-502
-1596.0,-494
-1588.0,-522
-1624.0,-546
-1628.0,-544
-1616.0,-580
-1596.0,-588
-1608.0,-610
-1660.0,-636
-1580.0,-612
-1556.0,-606
-1568.0,-600
-1532.0,-610
-1552.0,-644
-1616.0,-648
-1648.0,-656
-1608.0,-648
-1536.0,-636
-1564.0,-644
-1612.0,-666
-1636.0,-688
-1624.0,-664
-1624.0,-676
-1628.0,-686
-1672.0,-698
-1652.0,-708
-1624.0,-706
-1580.0,-684
-1580.0,-692
-1596.0,-708
-1592.0,-736
-1628.0,-758
-1648.0,-762
-1704.0,-776
-1692.0,-774
-1616.0,-736
-1608.0,-708
-1700.0,-754
-1616.0,-698
-1576.0,-722
-1600.0,-728
-1648.0,-758
-1664.0,-782
-1700.0,-806
-1640.0,-812
-1724.0,-850
-1720.0,-842
-1700.0,-852
-1696.0,-856
-1744.0,-898
-1776.0,-920
-1704.0,-910
-1704.0,-904
-1736.0,-912
-1768.0,-924
-1780.0,-928
-1816.0,-942
-1808.0,-952
-1804.0,-944
-1768.0,-938
-1744.0,-924
-1788.0,-934
-1800.0,-944
-1780.0,-934
-1680.0,-904
-1720.0,-896
-1736.0,-888
-1808.0,-920
-1792.0,-924
-1832.0,-940
-1824.0,-936
-1792.0,-930
-1788.0,-932
-1796.0,-942
-1748.0,-920
-1756.0,-916
-1756.0,-918
-1700.0,-896
-1760.0,-918
-1748.0,-912
-1720.0,-916
-1776.0,-924
-1716.0,-922
-1788.0,-948
-1860.0,-968
-1856.0,-966
-1788.0,-940
-1732.0,-918
-1728.0,-920
-1720.0,-922
-1760.0,-940
-1764.0,-934
-1768.0,-942
-1824.0,-942
-1772.0,-938
-1780.0,-942
-1804.0,-946
-1780.0,-936
-1792.0,-940
-1776.0,-944
-1820.0,-952
-1744.0,-928
-1796.0,-952
-1784.0,-948
-1808.0,-952
-1776.0,-944
-1796.0,-948
-1820.0,-954
-1828.0,-950
-1768.0,-930
-1780.0,-936
-1780.0,-936
-1784.0,-934
-1724.0,-926
-1752.0,-928
-1788.0,-950
-1816.0,-946
-1820.0,-958
-1840.0,-958
-1780.0,-936
-1812.0,-958
-1804.0,-948
-1792.0,-940
-1804.0,-938
-1752.0,-932
-1736.0,-930
-1756.0,-934
-1760.0,-940
-1732.0,-906
-1732.0,-914
-1716.0,-912
-1768.0,-924
-1712.0,-902
-1772.0,-944
-1792.0,-944
-1788.0,-940
-1804.0,-938
-1780.0,-932
-1780.0,-936
-1768.0,-926
-1776.0,-926
-1744.0,-924
-1760.0,-922
-1752.0,-920
-1772.0,-928
-1784.0,-926
-1720.0,-866
-1744.0,-868
-1732.0,-866
-1736.0,-856
-1736.0,-864
-1720.0,-872
-1736.0,-864
-1768.0,-906
-1792.0,-916
-1812.0,-924
-1788.0,-904
-1740.0,-904
-1796.0,-920
-1768.0,-934
-1796.0,-926
-1868.0,-960
-1876.0,-964
-1880.0,-962
-1828.0,-944
-1752.0,-924
-1816.0,-928
-1764.0,-904
-1768.0,-908
-1776.0,-906
-1844.0,-932
-1808.0,-934
-1796.0,-934
-1848.0,-948
-1708.0,-910
-1768.0,-920
-1744.0,-928
-1764.0,-924
-1704.0,-912
-1752.0,-916
-1752.0,-916
-1732.0,-922
-1804.0,-952
-1764.0,-934
-1744.0,-920
-1772.0,-936
-1804.0,-942
-1784.0,-936
-1760.0,-928
-1776.0,-930
-1772.0,-944
-1784.0,-940
-1792.0,-940
-1736.0,-918
-1808.0,-946
-1752.0,-924
-1784.0,-926
-1796.0,-942
-1820.0,-946
-1852.0,-962
-1828.0,-952
-1808.0,-946
