Energy,Magnetization
-2924.0,78
-4052.0,100
-4676.0,90
-5208.0,68
-5524.0,94
-5800.0,236
-6008.0,210
-6224.0,270
-6256.0,240
-6448.0,276
-6528.0,312
-6616.0,246
-6744.0,324
-6760.0,314
-6736.0,330
-6812.0,288
-6872.0,272
-6860.0,232
-6924.0,246
-6948.0,254
-7004.0,174
-6996.0,138
-6976.0,168
-6940.0,242
-6964.0,208
-6996.0,224
-7044.0,236
-7092.0,222
-7092.0,228
-7124.0,234
-7132.0,216
-7120.0,204
-7092.0,202
-7168.0,246
-7140.0,270
-7092.0,294
-7096.0,328
-7096.0,340
-7112.0,350
-7076.0,350
-7164.0,410
-7232.0,402
-7148.0,386
-7132.0,330
-7136.0,334
-7200.0,380
-7208.0,404
-7212.0,488
-7248.0,492
-7256.0,536
-7316.0,584
-7280.0,578
-7220.0,632
-7316.0,598
-7368.0,646
-7316.0,632
-7340.0,630
-7336.0,618
-7244.0,590
-7256.0,600
-7264.0,598
-7256.0,578
-7352.0,592
-7308.0,628
-7340.0,668
-7332.0,708
-7360.0,746
-7416.0,758
-7376.0,776
-7376.0,780
-7360.0,758
-7364.0,728
-7344.0,696
-7384.0,718
-7276.0,736
-7340.0,726
-7360.0,782
-7388.0,808
-7432.0,822
-7412.0,802
-7424.0,822
-7484.0,798
-7428.0,798
-7368.0,784
-7352.0,810
-7408.0,836
-7396.0,782
-7404.0,762
-7452.0,784
-7436.0,790
-7420.0,754
-7484.0,788
-7440.0,804
-7432.0,784
-7460.0,782
-7440.0,778
-7368.0,806
-7312.0,794
-7392.0,762
-7316.0,762
-7336.0,756
-7364.0,776
-7460.0,782
-7400.0,814
-7472.0,858
-7472.0,848
-7512.0,824
-7440.0,882
-7444.0,860
-7496.0,888
-7456.0,830
-7472.0,828
-7468.0,838
-7560.0,840
-7536.0,834
-7528.0,868
-7560.0,872
-7516.0,900
-7512.0,956
-7504.0,926
-7496.0,990
-7484.0,1012
-7516.0,1036
-7540.0,1014
-7528.0,1022
-7504.0,1008
-7484.0,1038
-7484.0,1038
-7516.0,1006
-7572.0,1018
-7512.0,1058
-7400.0,1102
-7444.0,1132
-7488.0,1110
-7520.0,1114
-7460.0,1112
-7484.0,1102
-7512.0,1120
-7528.0,1070
-7544.0,1068
-7528.0,1094
-7548.0,1092
-7584.0,1086
-7568.0,1110
-7520.0,1122
-7468.0,1084
-7544.0,1084
-7512.0,1090
-7492.0,1068
-7568.0,1110
-7584.0,1114
-7492.0,1114
