Energy,Magnetization
-3112.0,-2
-4396.0,-142
-5036.0,-106
-5528.0,-150
-5812.0,-236
-6032.0,-246
-6208.0,-212
-6344.0,-192
-6444.0,-230
-6520.0,-284
-6600.0,-266
-6676.0,-296
-6700.0,-324
-6776.0,-344
-6856.0,-360
-6924.0,-394
-6960.0,-384
-6976.0,-378
-7020.0,-402
-7052.0,-412
-7064.0,-398
-7052.0,-450
-7104.0,-492
-7120.0,-490
-7144.0,-542
-7188.0,-570
-7192.0,-640
-7220.0,-716
-7280.0,-776
-7284.0,-810
-7308.0,-788
-7312.0,-802
-7328.0,-844
-7340.0,-872
-7340.0,-826
-7360.0,-862
-7364.0,-828
-7368.0,-858
-7396.0,-896
-7380.0,-904
-7400.0,-926
-7404.0,-964
-7404.0,-972
-7412.0,-996
-7416.0,-1006
-7388.0,-978
-7408.0,-1006
-7444.0,-1032
-7424.0,-1064
-7444.0,-1072
-7452.0,-1086
-7464.0,-1116
-7444.0,-1134
-7444.0,-1128
-7484.0,-1180
-7488.0,-1174
-7492.0,-1206
-7484.0,-1216
-7488.0,-1198
-7488.0,-1192
-7512.0,-1198
-7520.0,-1230
-7500.0,-1208
-7496.0,-1230
-7512.0,-1214
-7516.0,-1210
-7500.0,-1208
-7520.0,-1214
-7508.0,-1276
-7540.0,-1264
-7552.0,-1298
-7556.0,-1308
-7548.0,-1348
-7552.0,-1340
-7556.0,-1354
-7552.0,-1344
-7568.0,-1324
-7544.0,-1334
-7544.0,-1356
-7544.0,-1372
-7560.0,-1390
-7588.0,-1422
-7584.0,-1474
-7604.0,-1494
-7616.0,-1518
-7612.0,-1514
-7616.0,-1548
-7616.0,-1530
-7628.0,-1544
-7620.0,-1568
-7612.0,-1602
-7612.0,-1622
-7596.0,-1638
-7632.0,-1644
-7620.0,-1626
-7612.0,-1580
-7620.0,-1574
-7624.0,-1586
-7636.0,-1616
-7644.0,-1628
-7636.0,-1624
-7624.0,-1642
-7636.0,-1624
-7644.0,-1602
-7648.0,-1604
-7628.0,-1642
-7644.0,-1654
-7656.0,-1646
-7636.0,-1650
-7636.0,-1656
-7640.0,-1656
-7648.0,-1650
-7660.0,-1712
-7636.0,-1724
-7652.0,-1714
-7656.0,-1698
-7676.0,-1716
-7660.0,-1720
-7672.0,-1740
-7644.0,-1724
-7668.0,-1734
-7664.0,-1776
-7676.0,-1802
-7688.0,-1828
-7676.0,-1834
-7712.0,-1826
-7708.0,-1844
-7700.0,-1812
-7692.0,-1848
-7696.0,-1836
-7692.0,-1842
-7700.0,-1856
-7700.0,-1902
-7684.0,-1902
-7676.0,-1912
-7672.0,-1942
-7692.0,-1948
-7684.0,-1936
-7684.0,-1920
-7700.0,-1950
-7688.0,-1936
-7676.0,-1928
-7688.0,-1942
-7696.0,-2002
-7696.0,-2010
-7736.0,-2036
-7768.0,-2026
-7772.0,-2060
-7776.0,-2082
-7776.0,-2094
-7740.0,-2094
-7744.0,-2114
-7720.0,-2134
-7716.0,-2118
-7736.0,-2112
-7744.0,-2178
-7764.0,-2210
-7776.0,-2204
-7780.0,-2234
-7752.0,-2224
-7784.0,-2230
-7792.0,-2236
-7788.0,-2276
-7780.0,-2286
-7776.0,-2296
-7756.0,-2290
-7788.0,-2320
-7768.0,-2300
-7788.0,-2296
-7804.0,-2314
-7820.0,-2340
-7796.0,-2368
-7804.0,-2388
-7816.0,-2388
-7832.0,-2398
-7836.0,-2432
-7848.0,-2446
-7856.0,-2462
-7864.0,-2484
-7840.0,-2502
-7844.0,-2538
-7836.0,-2566
-7864.0,-2586
-7868.0,-2628
-7856.0,-2626
-7872.0,-2630
-7876.0,-2662
-7888.0,-2666
-7872.0,-2680
-7872.0,-2714
-7884.0,-2692
-7872.0,-2678
-7864.0,-2676
-7868.0,-2684
-7872.0,-2688
-7884.0,-2714
-7896.0,-2720
-7872.0,-2716
-7860.0,-2726
-7852.0,-2722
-7864.0,-2724
-7876.0,-2736
-7880.0,-2726
-7872.0,-2730
-7880.0,-2744
-7888.0,-2762
-7892.0,-2768
-7908.0,-2798
-7916.0,-2798
-7892.0,-2792
-7904.0,-2768
-7912.0,-2802
-7908.0,-2840
-7916.0,-2860
-7904.0,-2896
-7920.0,-2900
-7916.0,-2912
-7924.0,-2926
-7924.0,-2932
-7928.0,-2958
